alter_name,copyright_year,description,duration,genre,high,img,low,medium,name,origin,id
Sát Quyền,2016,"
                  Một bật thầy võ thuật karate phải lên đường tìm em gái mình khi cô mất tích bí ẩn tại Los Angeles. Một điều lạ là bất kỳ ai tham gia tìm kiếm cô gái ấy đều phải đối mặt với một thế lực đen tối dùng võ thuật hại người...
                ",89 phút,"Hành Động,Kinh Dị,Võ Thuật",,http://fcine.net/uploads/monthly_2017_06/Poster.jpg.c62499e9fd045431607717aa75c45b7c.jpg,,,Karate Kill,Nhật Bản,1
Kẻ Bị Khai Trừ,2016,"
                  Một câu chuyện tình lấy bối cảnh xã hội ở tương lai không xa tại vùng đất hoang vu ở Texas giữa những kẻ ăn thịt đồng loại.
                ",118 phút,"Viễn Tưởng,Lãng Mạn",https://lh3.googleusercontent.com/JBRkNPWtCb6UIvIsUcE9M29ZbkjaOwlLqGD8qz3lrya2Qs9O8B1R4B3tFjC8BuExXDQ5QbbRjkivnqAxtA8xbPUM6zNpmYD8NpvcsDa_JqXrncugjxoF8fhNWHjxi44TSvrhWC16oxw=m37,http://fcine.net/uploads/monthly_2017_06/ABC.jpg.d4341552fc18c9bacaaef8b571601a7d.jpg,https://lh3.googleusercontent.com/JBRkNPWtCb6UIvIsUcE9M29ZbkjaOwlLqGD8qz3lrya2Qs9O8B1R4B3tFjC8BuExXDQ5QbbRjkivnqAxtA8xbPUM6zNpmYD8NpvcsDa_JqXrncugjxoF8fhNWHjxi44TSvrhWC16oxw=m18,https://lh3.googleusercontent.com/JBRkNPWtCb6UIvIsUcE9M29ZbkjaOwlLqGD8qz3lrya2Qs9O8B1R4B3tFjC8BuExXDQ5QbbRjkivnqAxtA8xbPUM6zNpmYD8NpvcsDa_JqXrncugjxoF8fhNWHjxi44TSvrhWC16oxw=m22,The Bad Batch,Mỹ,2
Trò Chơi Thảm Sát,2016,"
                  Một nhóm 80 người đã bị nhốt trong một tòa cao ốc tại Bogota, Colombia, Mỹ. Bằng một cách nào đó, một thế lực bí ấn đã cô lập tòa nhà này với thế giới xung quanh và ép những người trong đó phải tham dự vào một trò chơi sinh tồn đầy man rợ: chỉ có 1 người được quyền sống sót và rời khỏi tòa nhà này...
                ",89 phút,"Hành Động,Kinh Dị,Giật Gân",,http://fcine.net/uploads/monthly_2017_06/Poster.jpg.0b8f05d91cae2142844078127c57bdaf.jpg,https://lh3.googleusercontent.com/PEJJrYflrdfUp36GZx5gYz4C_zEWwNWA2rhXSIqLrxk1SX3_D2yQ9eEQZbRgPb3OV1zAJzAPB-bQhjpFBcvYXfKS56Zc0i0t6KnX8B1dtrzWmv2BA8YQ8Tgd74ITap9pltWHQJv52tc=m18,https://lh3.googleusercontent.com/PEJJrYflrdfUp36GZx5gYz4C_zEWwNWA2rhXSIqLrxk1SX3_D2yQ9eEQZbRgPb3OV1zAJzAPB-bQhjpFBcvYXfKS56Zc0i0t6KnX8B1dtrzWmv2BA8YQ8Tgd74ITap9pltWHQJv52tc=m22,The Belko Experiment,Mỹ,3
Khúc Ca Tình Yêu,2017,"
                  Sự đan xen của những cuộc tình tay ba phức tạp. Sự ám ảnh và phản bội đối lập với bầu không khí tràn đầy âm nhạc ở Austin, Texas.
                ",129 phút,"Tâm Lý,Âm Nhạc,Lãng Mạn",https://lh3.googleusercontent.com/e5xKBB3s9BE91Yg8MaxbqfETNJT1qb7R8GjNUufYh5OBBBnL0BUI42CuP07Cpi5ytgg-g9ch5YxGpjQJ5rzqQVnBrl16fyaRZZSFO1ptL9hEbfZfznu-p9ISVb-FJz3VpI4__0-1hJU=m37,http://fcine.net/uploads/monthly_2017_06/ABC.jpg.48aae87c60dc2408edaf22836478dd72.jpg,https://lh3.googleusercontent.com/e5xKBB3s9BE91Yg8MaxbqfETNJT1qb7R8GjNUufYh5OBBBnL0BUI42CuP07Cpi5ytgg-g9ch5YxGpjQJ5rzqQVnBrl16fyaRZZSFO1ptL9hEbfZfznu-p9ISVb-FJz3VpI4__0-1hJU=m18,https://lh3.googleusercontent.com/e5xKBB3s9BE91Yg8MaxbqfETNJT1qb7R8GjNUufYh5OBBBnL0BUI42CuP07Cpi5ytgg-g9ch5YxGpjQJ5rzqQVnBrl16fyaRZZSFO1ptL9hEbfZfznu-p9ISVb-FJz3VpI4__0-1hJU=m22,Song to Song,Mỹ,4
Xì Trum: Ngôi Làng Kỳ Bí,2017,"
                  Trong dịp tình cờ bắt gặp một sinh vật kỳ bí đang tìm đường về với khu rừng phép thuật (vốn là khu rừng hoang sơ và bị cấm túc nghiêm ngặt), Tí cô nương đã quyết tâm lên đường cùng 3 người anh Tí Lực Sĩ (Hefty), Tí Vụng Về (Clumsy) và Tí Thông Thái (Brainy) để tìm ra mục đích sống cho chính mình. Đương nhiên, cuộc phiêu lưu sẽ không thể thiếu những chiêu trò hắc ám của lão phù thủy xấu xí “Gà-mên” (Gargamel). Ẩn mình đầy mưu mô sau lưng các xì trum, hắn sẽ tung ra rất nhiều đòn phép ma thuật bất lợi, hãm hại anh em nhà da xanh trên từng bước thám hiểm rừng sâu...
                ",90 phút,"Hoạt Hình,Hài Hước,Phiêu Lưu",,http://fcine.net/uploads/monthly_2017_06/Poster.jpg.ba51af639d01836006fe253d8672aae4.jpg,https://lh3.googleusercontent.com/M8KyIg42IOHhwnO_th-aJeufQuep-_7CLwAXYzsYNLUGLOStnZM6af2qtjs11zk8k4zG3YMYBDmjCr_sMTFC9BqQWlJkAV81fWdhbPoOOu4LzNnNboyjPxwNeKA1GX4SbMQqHjcPjfM=m18,https://lh3.googleusercontent.com/M8KyIg42IOHhwnO_th-aJeufQuep-_7CLwAXYzsYNLUGLOStnZM6af2qtjs11zk8k4zG3YMYBDmjCr_sMTFC9BqQWlJkAV81fWdhbPoOOu4LzNnNboyjPxwNeKA1GX4SbMQqHjcPjfM=m22,Smurfs: The Lost Village,Mỹ,5
Sóng Dữ,2017,"
                  Phim Sóng Dữ - Shock Wave 2017: Lấy bối cảnh tại Hong Kong, câu chuyện xoay quanh Chương Tại Sơn - một chuyên viên cấp cao về xử lý chất nổ tại Cục Cảnh Sát Hong Kong. Chương Tại Sơn làm mật thám ngầm suốt 7 năm trong băng đảng Hồng Kế Bằng, hay còn có biệt danh Cranky - kẻ đứng sau hàng loạt vụ đánh bom và bị truy nã gắt gao.
                ",119 phút,Hành Động,https://lh3.googleusercontent.com/Dz-b8svqN9sS8QwrHo9Wt6u2cuyJ3yzbMztCmk51D2XyfZCIM4ARlMz7FAIOjXuLVbeO5F0bVboPDtuAgCXfVFqDBcv0MpwbyKdaiWd7r_iMURLdlzrpO7k5aE1NhfddjxbWCjxIJRo=m37,http://fcine.net/uploads/monthly_2017_06/5953180b8d0c4_ShockWaveofficialposter.jpg.0f7116b13918b323e2049811762d60a4.jpg,https://lh3.googleusercontent.com/Dz-b8svqN9sS8QwrHo9Wt6u2cuyJ3yzbMztCmk51D2XyfZCIM4ARlMz7FAIOjXuLVbeO5F0bVboPDtuAgCXfVFqDBcv0MpwbyKdaiWd7r_iMURLdlzrpO7k5aE1NhfddjxbWCjxIJRo=m18,https://lh3.googleusercontent.com/Dz-b8svqN9sS8QwrHo9Wt6u2cuyJ3yzbMztCmk51D2XyfZCIM4ARlMz7FAIOjXuLVbeO5F0bVboPDtuAgCXfVFqDBcv0MpwbyKdaiWd7r_iMURLdlzrpO7k5aE1NhfddjxbWCjxIJRo=m22,Shock Wave,Hồng Kông,6
Bố Già Xứ Venice,2017,"
                  Bố Già Venice xoay quanh Steve Ford (Bruce Willis), gã thám tử tư với phương châm sống: “hết mình với phụ nữ, mạnh bạo với đám đàn ông” bất ngờ bị một băng đảng khét tiếng đánh cắp chú chó cưng. Để cứu lấy người bạn thân thương, Steve buộc phải trộm ma túy theo yêu cầu của tay trùm Spyder và đối mặt với những tình huống tréo ngoe, dở khóc dở cười…
                ",94 phút,"Hành Động,Hài Hước,Giật Gân",https://lh3.googleusercontent.com/ADCh1ITIfEL1yYTweU1P6Jhv-LQGztVYZ5OaZaSJKSMrgNy-wkd3NJP9ylBYbmcQFcoXkV3GMBUIf676qqTV4pN9EXRmFaXRW23tcqPtPX1fbE1nMkvdX79d_-ZSMYC2LwjxknVlu-4=m37,http://fcine.net/uploads/monthly_2017_06/Poster.jpg.fe32773d9370fd1d3662981d6127d237.jpg,https://lh3.googleusercontent.com/ADCh1ITIfEL1yYTweU1P6Jhv-LQGztVYZ5OaZaSJKSMrgNy-wkd3NJP9ylBYbmcQFcoXkV3GMBUIf676qqTV4pN9EXRmFaXRW23tcqPtPX1fbE1nMkvdX79d_-ZSMYC2LwjxknVlu-4=m18,https://lh3.googleusercontent.com/ADCh1ITIfEL1yYTweU1P6Jhv-LQGztVYZ5OaZaSJKSMrgNy-wkd3NJP9ylBYbmcQFcoXkV3GMBUIf676qqTV4pN9EXRmFaXRW23tcqPtPX1fbE1nMkvdX79d_-ZSMYC2LwjxknVlu-4=m22,Once Upon a Time in Venice,Mỹ,7
Triệu Hồi,2017,"
                  Khi năm người bạn đi nghỉ tại một ngôi nhà bên hồ, họ không mong đợi gì hơn ngoài một khoảng thời gian đẹp đẽ, họ không hề nhận ra Trái Đất nằm dưới sự xâm lăng và bắt cóc diện rộng của người ngoài hành tinh.
                ",90 phút,"Viễn Tưởng,Kinh Dị,Giật Gân",https://lh3.googleusercontent.com/Yg4QMVnWa7-UJ7CiNBZq4wfPQte8OR1SQYOFjHnySfoVRbDnCmCUdwYaaRHnNMCd2yuVioWMvjzawSTmLeyU5uIpfeN2e4JJAhWJWdoqittIl0tHVDh2UVdhHQujrKsK6Uj7408uSFY=m37,http://fcine.net/uploads/monthly_2017_06/MV5BOWY3ZDY2MzItYTMyOS00MDIwLThhYzctNWFhYzU1NzQ0Nzg3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjA5OTYwMjI@._V1_SY1000_SX680_AL_.jpg.837cd0941fd9842a96b8d9c7e550e28b.jpg,https://lh3.googleusercontent.com/Yg4QMVnWa7-UJ7CiNBZq4wfPQte8OR1SQYOFjHnySfoVRbDnCmCUdwYaaRHnNMCd2yuVioWMvjzawSTmLeyU5uIpfeN2e4JJAhWJWdoqittIl0tHVDh2UVdhHQujrKsK6Uj7408uSFY=m18,https://lh3.googleusercontent.com/Yg4QMVnWa7-UJ7CiNBZq4wfPQte8OR1SQYOFjHnySfoVRbDnCmCUdwYaaRHnNMCd2yuVioWMvjzawSTmLeyU5uIpfeN2e4JJAhWJWdoqittIl0tHVDh2UVdhHQujrKsK6Uj7408uSFY=m22,The Recall,Mỹ,8
Biệt Đội Không Gian,2017,"
                  Phim Biệt Đội Không Gian - Space Squad 2017: Một tập phim đặc biệt crossover giữa 2 dòng phim Metal Heroes và Super Sentai. Ở tập phim đặc biệt này, hai biệt đội cảnh sát bảo vệ hòa bình của vũ trụ là Thanh tra Vũ trụ Gavan và Chiến đội Đặc nhiệm Dekaranger, sẽ hợp lực cùng nhau nhằm ngăn chặn một âm mưu bí hiểm từ một kẻ thù vô cùng đáng gờm.
                ",90 phút,"Viễn Tưởng,Hài Hước",,http://fcine.net/uploads/monthly_2017_06/MV5BMzM0NWY1MTUtZmEzOS00MTI3LTlkMjMtZDRlOTVjYjIwZDIxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDA5ODU0NDg@._V1_.jpg.3fc46f7ca85a31ece90fcb1b10088285.jpg,https://lh3.googleusercontent.com/PQ66QrBpYCmiz5-TVkzDarJExI9pPhehIKgmMWd44HPJm3qBIRd4HHHiCsFhVjwK-qk8EpwVrOipllI3lfDnKIQC1NqV1OowAtHeMeg1JUhue1pSzIYnXMUQvgnn7a0B-OT15GDctL4=m18,https://lh3.googleusercontent.com/PQ66QrBpYCmiz5-TVkzDarJExI9pPhehIKgmMWd44HPJm3qBIRd4HHHiCsFhVjwK-qk8EpwVrOipllI3lfDnKIQC1NqV1OowAtHeMeg1JUhue1pSzIYnXMUQvgnn7a0B-OT15GDctL4=m22,Space Squad,Nhật Bản,9
Siêu Lợn Okja,2017,"
                  Okja 2017 kể về một cô gái trẻ sống trong vùng rừng núi thuộc tỉnh Gangwon, Hàn Quốc, cùng với một con ""quái vật khổng lồ"" có tên Okja. Sau khi Okja biến mất, cô gái dùng mọi cách để tìm lại người bạn thân nhất của mình. Trong trailer đầu tiên, tạo hình của ""quái thú"" Okja đã thu hút nhiều sự chú ý với vóc dáng to lớn, đôi mắt nâu và bề ngoài trông khá giống một chú voi. Được biết, chủ nhân giải Oscar cho hạng mục Kĩ xảo xuất sắc nhất Erik-Jan de Boer (Life of Pi) là người đứng sau những thước phim đẹp mắt trong dự án có kinh phí đầu tư lên tới 50 triệu USD (khoảng 1,13 nghìn tỉ VND) này.
                ",118 phút,"Hành Động,Tâm Lý,Phiêu Lưu",,http://fcine.net/uploads/monthly_2017_06/MV5BMjQxMTcxNDgxN15BMl5BanBnXkFtZTgwOTczNTIzMjI@._V1_.jpg.33661d429dcd3cc0b539eef5f497300d.jpg,https://lh3.googleusercontent.com/H7hYPMetBY9kdfFIm9ECJuIBoFUYgQCcVKeYUnxK8gnfVIify6Pxl8vkGTUbxZu6_zLDUvfF7Q1FGQfJ9KA8wLGLMmH9T2M9OY_rC3eUG6BI02_Ju_QE3CbFECf2skX8YTiaagRN2EA=m18,https://lh3.googleusercontent.com/H7hYPMetBY9kdfFIm9ECJuIBoFUYgQCcVKeYUnxK8gnfVIify6Pxl8vkGTUbxZu6_zLDUvfF7Q1FGQfJ9KA8wLGLMmH9T2M9OY_rC3eUG6BI02_Ju_QE3CbFECf2skX8YTiaagRN2EA=m22,Okja,Hàn Quốc,10
